ink,qty
CE-507A/400A: BLACK,1
CE-507A/400A: CYAN ,2
CE-507A/400A: MAGENTA,3
CE-507A/400A: YELLOW,2
Epson 200:BLACK,1
CE-507A/400A:CYAN ,2
CE-507A/400A:MAGENTA,3
CE-507A/400A:YELLOW,2
HP 30A,3
HP 32A,5
HP 78A,4
HP 79A,0
HP 206A: BLACK,4
CE-507A/400A:CYAN ,2
CE-507A/400A:MAGENTA,2
CE-507A/400A:YELLOW,2
HP 664:BLACK,4
HP 664:COLOUR,5
HP 667: BLACK,1
HP 667:COLOUR,1
HP 954:BLACK,5
HP 954:CYAN ,4
HP 954:MAGENTA,5
HP 954:YELLOW,2
HP 964:BLACK,1
HP 954:CYAN ,1
HP 954:MAGENTA,1
HP 954:YELLOW,1
HP CE 285A (85A),4
MICR 58A (CF258A-001),13
TK162,4
TK342,2
Troy M402,3
Xerox 6500/6505:BLACK,0
Xerox 6500/6505:CYAN ,1
Xerox 6500/6505:MAGENTA,1
Xerox 6500/6505:YELLOW,1
Xerox B600/B605/610/615,1
Xerox C400/405:BLACK,0
Xerox C400/405:CYAN ,1
Xerox C400/405:MAGENTA,1
Xerox C400/405:YELLOW,1
Xerox Phaser 3260 (Regular),5
Xerox WC 5325,2
78 TRI-COLOUR ,4
701,3
3428,3
Canon 8:BLACK,8
Canon 8:CYAN ,2
Canon 8:MAGENTA,2
Canon 8:YELLOW,5
Canon 8:5PGBK,2
HP 10A,3
HP 12A,2
HP 27,7
HP 35A,3
HP 45,4
HP 56,7
HP 57,7
HP 59A,8
HP 64A,3
HP 74:,0
HP 74 XL,0
HP 75,0
HP 96A,3
HP 920:BLACK,1
HP 920:CYAN ,2
HP 920:MAGENTA,2
HP 920:YELLOW,2
LC51BK,2
PC 302RF,1
TK542: BLACK,2
HP 920:CYAN ,2
HP 920:MAGENTA,2
HP 920:YELLOW,2
TK562:BLACK,2
TK562:CYAN ,2
TK562:MAGENTA,2
TK562:YELLOW,2
TK582:BLACK,2
TK582:CYAN ,5
TK582:MAGENTA,6
TK582:YELLOW,5
TK592:BLACK,2
TK592:CYAN ,2
TK592:MAGENTA,1
TK592:YELLOW,1
TK897:BLACK,2
TK897:CYAN ,1
TK897:MAGENTA,2
TK897:YELLOW,1
TK6280:BLACK,0
TK6280:CYAN ,0
TK6280:MAGENTA,1
TK6280:YELLOW,1
TN350,3
TN550,2
Troy 1320,1
Troy 4250-4350,5
Troy M605,4
Xerox Phaser 3250,2
Xerox Phaser 3260 (MICR),2
Xerox Phaser 3600,1
Xerox WC 5655,1
Xerox WC 5755,3
