item,qty
Adding Machine Receipt Rolls,17
Adding Machine Ribbons,0
Adding Machine,0
Banker Boxes,48
Batteries:AA,46
Batteries:AAA,38
Batteries:D,12
Binder Clips:Mini,100
Binder Clips:Small,123
Binder Clips:Medium,48
Binder Clips:Large,93
"Binding Combs:3/8""",70
"Binding Combs:1/4""",100
"Binding Combs:1/2""",48
"Binding Combs:1""",13
Calculator,10
Carbon Paper,6
Cheque Register: Production,5
Cheque Register:Distribution,5
Clear/Scotch Tape:Small,9
Clear/Scotch Tape:Large,42
Clear/Scotch Tape:X0Large,16
Correction Fluid,3
Counter Pens,1
Counterfeit Pens,2
Desk Organizer,0
Desk Trays,0
Envelopes: Small,0
Envelopes:Bank Draft,0
Envelopes:A4,0
Envelopes:Large,0
Erasers,19
Extension Cords,3
File Sheets,2
Flash Drives (32 GB),1
Folders: Gov't: Manila (Long),0
Folders: Gov't:Manila (Short),106
Glue Stick: Small,64
Glue Stick:Medium,0
Hanging Folders,11
Highlighters,100
ID Card Cords,22
Key Rings,80
Liquid Glue: Small,0
Liquid Glue:Medium,83
Masking Tape:Small,0
Masking Tape:Large,11
Masking Tape:X-Large,5
Masking Tape:Duct Tape,1
Mouse Pads,2
"Notebooks:150 Pages (Small, Short)",1
"Notebooks:200 Pages (Small, Long)",10
"Notebooks:400 Pages (Large, Short)",9
"Notebooks:600 Pages (Large, Long)",9
Notepads:Short,9
Notepads:Long,9
Paper Clips:Small,130
Notepads:Large,14
Paper Puncher:Small,3
Paper Puncher:Big,29
Paper:8.5 x 11,35
Paper:8 x 14,24
Paper:Stock Paper,332
Paper:Certificate Paper,0
Pen & Pencil Holders:Small,4
Pen & Pencil Holders:Large,6
Pencils,122
Pens:Black,156
Pens:Blue,87
Pens:Red,43
Permanent Markers:Black ,9
Permanent Markers:Blue ,11
Permanent Markers:Brown,4
Permanent Markers:Green,16
Permanent Markers:Red,11
Permanent Markers:Yellow,4
Permanent Markers:Orange,4
Permanent Markers:Pink,4
Permanent Markers:Purple,2
Rubber Bands,9
Rulers,36
Scissors,6
Sharpeners: Regular ,14
Sharpeners: Electric,0
Stamp Pad Ink:Black,0
Stamp Pad Ink:Blue,9
Stamp Pad Ink:Red,6
Stamp Pads:Black,8
Stamp Pad:Blue,10
Stamp Pad:Red,4
Staple Machines:Regular,1
Staple Machines:Heavy Duty ,1
Staple Remover,15
Staples:Standard,30
Staples:308th,7
Staples:508th,0
Staples:104th,20
Staples:102 in,0
Steno Pads,12
Sticky Notes:Small,36
Sticky Notes:Big,33
Thumb Tacks:50 Pack,0
Sticky Notes:100 Pack,12
Treasury Tags,23
Twine,3
White Board Markers,15
